,id,sentence_text,cluster
10,sc.83_37_114_182_10,إنهم يكرهون البنات ولا يرضون نسبتهنَّ لأنفسهم، فكيف يرضونها لله عز وجل ويختصون بالبنين؟,-1
11,sc.83_37_114_182_11,{أَمْ خَلَقْنَا ٱلْمَلاَئِكَةَ إِنَاثاً وَهُمْ شَاهِدُونَ} توبيخٌ آخر على بهتانهم واستهزاء بهم وتجهيل أي بل أخلقنا الملائكة الأطهار حين خلقناهم، وجعلناهم إناثاً وهم شاهدون لذلك حتى يقولوا مثل هذا البهتان؟,-1
12,sc.83_37_114_182_12,{أَلاَ إِنَّهُم مِّنْ إِفْكِهِمْ لَيَقُولُونَ * وَلَدَ ٱللَّهُ} أي ألا فانتبهوا أيها الناس إن هؤلاء المشركين من كذبهم وافترائهم ينسبون إلى الله الذرية والولد {وَإِنَّهُمْ لَكَاذِبُونَ} أي وهم كاذبون قطعاً في قولهم الملائكة بناتُ الله قال أبو السعود: والآية استئناف مسوقٌ لإِبطال أصل مذهبهم الفاسد، ببيان أن مبناه ليس إلا الإِفك الصريح، والافتراء القبيح، من غير أن يكون لهم دليلٌ قطعاً {أَصْطَفَى ٱلْبَنَاتِ عَلَىٰ ٱلْبَنِينَ}؟,62
13,sc.83_37_114_182_13,توبيخٌ وتقريع أي هل اختار جل وعلا البناتِ وفضلهن على البنين؟,76
14,sc.83_37_114_182_14,{مَا لَكُمْ كَيْفَ تَحْكُمُونَ}؟,71
15,sc.83_37_114_182_15,تسفيهٌ لهم وتجهيل أيْ أيُّ شيء حصل لكم حتى حكمتم بهذا الحكم الجائر؟,75
16,sc.83_37_114_182_16,كيف يختار لنفسه أخسَّ الجنسين على زعمكم؟,76
17,sc.83_37_114_182_17,{أَفَلاَ تَذَكَّرُونَ} أي أفليس لكم تمييز وإدراك تعرفون به خطأ هذا الكلام؟,74
18,sc.83_37_114_182_18,قال أبو السعود: أي أفلا تتذكرون بطلان هذا ببديهة العقل، فإِنه مركوزٌ في عقل كل ذكي وغبي {أَمْ لَكُمْ سُلْطَانٌ مُّبِينٌ} توبيخ آخر أي أم لكم برهان بيّن وحجة واضحة على أن الله اتخذ الملائكة بناتٍ له؟,-1
19,sc.83_37_114_182_19,{فَأْتُواْ بِكِتَابِكُمْ إِن كُنتُمْ صَادِقِينَ} أي فأتوا بهذا الكتاب الذي يشهد بصحة دعواكم فيما تزعمون..,-1
20,sc.83_37_114_182_20,"والغرضُ تعجيزهم وبيان أنهم لا يستندون - في أقوالهم الباطلة - على دليل شرعي، ولا منطق عقلي … وينتقل إلى أسطورةٍ أُخرى لفَّقها المشركون، حيث زعموا أن هناك صلة بين الله سبحانه وبين الجنِّ، وأنه من التزاوج بين الله تعالى والجِنَّة ولدت الملائكة فيقول {وَجَعَلُواْ بَيْنَهُ وَبَيْنَ ٱلْجِنَّةِ نَسَباً} أي جعل المشركون بين الله وبين الجنِّ قرابة ونسباً، حيث قالوا إنه نكح من الجنِّ فولدت له الملائكة {سُبْحَانَهُ وَتَعَالَىٰ عَمَّا يَقُولُونَ عُلُوّاً كَبِيراً} [الإسراء: 43] ثم زعموا أن الملائكة إناث، وأنهن بنات الله {وَلَقَدْ عَلِمَتِ ٱلجِنَّةُ إِنَّهُمْ لَمُحْضَرُونَ} أي لقد علمت الشياطين أنهم محضرون في العذاب قال الصاوي: وهذا زيادة في تبكيتهم وتكذيبهم كأنه قيل: هؤلاء الذين عظمتموهم وجعلتموهم بنات الله، أعلمُ بحالكم وما يئول إليه أمركم {سُبْحَانَ ٱللَّهِ عَمَّا يَصِفُونَ} أي تنزَّه وتقدَّس الله عما يصفه به هؤلاء الظالمون {إِلاَّ عِبَادَ ٱللَّهِ ٱلْمُخْلَصِينَ} استثناء منقطع أي لكنْ عباد الله المخلصين فإِنهم ينزهون الله تعالى عما يصفه به هؤلاء {فَإِنَّكُمْ وَمَا تَعْبُدُونَ * مَآ أَنتُمْ عَلَيْهِ بِفَاتِنِينَ * إِلاَّ مَنْ هُوَ صَالِ ٱلْجَحِيمِ} أي فإِنكم أيها الكفار وكل ما تعبدونه من الأصنام والشياطين لستم بقادرين على أن تُضلوا أحداً من عباد الله، إلاَّ من قضى الله عليه الشقاوة، وقدَّر أنه يدخل النار ويصلاها، ثم ذكر تعالى اعتراف الملائكة بالعبودية لله فقال {وَمَا مِنَّآ إِلاَّ لَهُ مَقَامٌ مَّعْلُومٌ} أي وما منا ملك إلا له مرتبة ومنزلة ووظيفة لا يتعداها، فمنا الموكَّل بالأرزاق، ومنا الموكَّل بالآجال، ومنَّا من يتنزل بالوحي، ولكلٍ منزلته من العبادة، والتقريب، والتشريف {وَإِنَّا لَنَحْنُ ٱلصَّآفُّونَ} أي الواقفون في العبادة صفوفاً {وَإِنَّا لَنَحْنُ ٱلْمُسَبِّحُونَ} أي المنزهون الله سبحانه عن كل ما لا يليق بعظمته وكبريائه، نسبّح الله في كل وقتٍ وحين قال في التسهيل: وفي هذا الكلام الذي قالته الملائكة ردٌّ على من قال إنهم بناتُ الله، وشركاء الله، لأنهم اعترفوا على أنفسهم بالعبودية والطاعة لله، والتنزيه له جل وعلا {وَإِن كَانُواْ لَيَقُولُونَ * لَوْ أَنَّ عِندَنَا ذِكْراً مِّنَ ٱلأَوَّلِينَ * لَكُنَّا عِبَادَ ٱللَّهِ ٱلْمُخْلَصِينَ} الضمير لكفار قريش و {وَإِن} هي المخففة من \"" إنَّ \"" الثقيلة أي وإِن كان الحال والشأن أن كفار مكة كانوا قبل أن ينزل عليهم القرآن - يقولون لو نزل علينا كتاب من كتب الأولين كالتوراة والإِنجيل لكنا أعظم إِيماناً منهم، وأكثر عبادةً وإِخلاصاً للهِ منهم، فلما جاءهم القرآن كفروا به ولهذا قال {فَكَفَرُواْ بِهِ} أي فكفروا وكذبوا بالقرآن أشرف الكتب السماوية {فَسَوْفَ يَعْلَمُونَ} أي فسوف يرون عاقبة كفرهم بآيات الله، وهو وعيد وتهديد {وَلَقَدْ سَبَقَتْ كَلِمَتُنَا لِعِبَادِنَا ٱلْمُرْسَلِينَ} أي سبق وعدنا وقضاؤنا للرسل الكرام {إِنَّهُمْ لَهُمُ ٱلْمَنصُورُونَ} أي إِنهم هم المنصورون على أعدائهم، والإِشارة إلى قوله تعالى {كَتَبَ ٱللَّهُ لأَغْلِبَنَّ أَنَاْ وَرُسُلِيۤ} [المجادلة: 21] {وَإِنَّ جُندَنَا لَهُمُ ٱلْغَالِبُونَ} أي وإِن جندنا المؤمنين لهم الغالبون في الدنيا والآخرة، في الدنيا بالحجة والبرهان، وفي الآخرة بدخول الجنان قال المفسرون: نصرُ الله للمؤمنين محقق، ولا يقدح في ذلك انهزامهم في بعض المعارك، فإِن القاعدة هي بالظفر والنصرة، وإِنما يُغلبون في بعض الأحيان بسبب تقصيرٍ منهم أو ابتلاءً ومحنة {فَتَوَلَّ عَنْهُمْ حَتَّىٰ حِينٍ} أي أعرض عنهم يا محمد إلى مدة يسيرة، إلى أن تُؤمر بقتالهم {وَأَبْصِرْهُمْ فَسَوْفَ يُبْصِرُونَ} أي وأبصرهم حين ينزل بهم العذاب، فسوف يبصرون عاقبة كفرهم {أَفَبِعَذَابِنَا يَسْتَعْجِلُونَ}؟",61
21,sc.83_37_114_182_21,استفهام إنكاري للتهديد أي أيستعجلون بعذاب الله؟,-1
22,sc.83_37_114_182_22,روي أنه لما نزل {فَسَوْفَ يُبْصِرُونَ} استهزءوا وقالوا متى هذا يكون؟,18
23,sc.83_37_114_182_23,فنزلت الآية ثم قال تعالى {فَإِذَا نَزَلَ بِسَاحَتِهِمْ فَسَآءَ صَبَاحُ ٱلْمُنْذَرِينَ} أي لا يستبعدوا ذلك فإِن العذاب إِذا نزل بفناء المكذبين فبئس هذا الصباح صباحهم، شبهه بجيشٍ هجم عليهم وقت الصباح فقطع دابرهم {وَتَوَلَّ عَنْهُمْ حَتَّىٰ حِينٍ * وَأَبْصِرْ فَسَوْفَ يُبْصِرُونَ} كرره تأكيداً للتهديد وتسلية للرسول صلى الله عليه وسلم {سُبْحَانَ رَبِّكَ رَبِّ ٱلْعِزَّةِ عَمَّا يَصِفُونَ} أي تنزه وتقدس ذو العزة والجبروت عما يصفه به المشركون {وَسَلاَمٌ عَلَىٰ ٱلْمُرْسَلِينَ * وَٱلْحَمْدُ للَّهِ رَبِّ ٱلْعَالَمِينَ} أي وسلامٌ منا على الرسل الكرام، والحمد لله في البد والختام لله ربّ الخلائق أجمعين.,62
24,sc.83_37_114_182_24,نزَّه تعالى نفسه عما وصفه به الكفار مما لا يليق به سبحانه، فإِنه حكى عنهم في هذه السورة أقوالاً كثيرة شنيعة، وختم بتعميم السلام على الرسل الكرام وبحمده سبحانه، وهو تعليم للعباد.,62
25,sc.83_37_114_182_25,البَلاَغَة: تضمنت الآيات الكريمة وجوهاً من البيان والبديع نوجزها فيما يلي: 1ـ الطباق بين {تَدْعُونَ … وَتَذَرُونَ} وبين {ٱلْبَنَاتِ … وٱلْبَنِينَ}.,-1
26,sc.83_37_114_182_26,2ـ تتابع التوبيخ وتكراره مثل {أَلِرَبِّكَ ٱلْبَنَاتُ}؟,76
27,sc.83_37_114_182_27,{أَمْ خَلَقْنَا ٱلْمَلاَئِكَةَ إِنَاثاً}؟,-1
28,sc.83_37_114_182_28,{مَا لَكُمْ كَيْفَ تَحْكُمُونَ}؟,71
29,sc.83_37_114_182_29,{أَفَلاَ تَذَكَّرُونَ}؟,18
30,sc.83_37_114_182_30,{أَمْ لَكُمْ سُلْطَانٌ مُّبِينٌ}؟,-1
31,sc.83_37_114_182_31,وكلها للتوبيخ والتبكيت.,76
32,sc.83_37_114_182_32,3ـ التأكيد بعدة مؤكدات لتحقيق المعنى وتقريره مثل {إِنَّهُمْ لَهُمُ ٱلْمَنصُورُونَ * وَإِنَّ جُندَنَا لَهُمُ ٱلْغَالِبُونَ} فقد أُكدت كل من الجملتين بإِن واللام.,-1
33,sc.83_37_114_182_33,4ـ الاستعارة التصريحية {إِذْ أَبَقَ إِلَى ٱلْفُلْكِ ٱلْمَشْحُونِ} شبه خروجه بغير إذن ربه بإِباق العبد من سيّده.,3
34,sc.83_37_114_182_34,5ـ الالتفات من الخطاب إلى الغيبة {وَجَعَلُواْ بَيْنَهُ وَبَيْنَ ٱلْجِنَّةِ نَسَباً} الأصل وتجعلون، والالتفاتُ للإِشارة إلى أنهم ليسوا أهلاً للخطاب، وهم بعيدون من رحمة ربّ الأرباب.,-1
35,sc.83_37_114_182_35,6ـ الاستعارة التمثيلية {فَإِذَا نَزَلَ بِسَاحَتِهِمْ} مثل للعذاب النازل بهم بجيش هجم عليهم فأناخ بفنائهم بغتة، ونصحهم بعض النصاح فلم يلتفتوا إلى إنذاره ولا أخذوا أهبتهم، حتى اجتاحهم الجيش.,3
36,sc.83_37_114_182_36,قال الزمخشري: وما فصحت هذه الجملة ولا كانت لها الروعة التي يروقك موردها إلا لمجيئها على طريقة التمثيل.,-1
37,sc.83_37_114_182_37,"فَائِدَة: روى ابن أبي حاتم عن الشعبي قال قال رسول الله صلى الله عليه وسلم: \"" من سرَّه أن يكتال بالمكيال الأوفى فليقل آخر مجلسه حين يريد أن يقوم {سُبْحَانَ رَبِّكَ رَبِّ ٱلْعِزَّةِ عَمَّا يَصِفُونَ * وَسَلاَمٌ عَلَىٰ ٱلْمُرْسَلِينَ * وَٱلْحَمْدُ للَّهِ رَبِّ ٱلْعَالَمِينَ} \"".",63
38,sc.54_37_22_26_0,تخلُّص من الإِنذار بحصول البعث إلى الإِخبار عما يحلّ بهم عقبه إذا ثبتوا على شركهم وإنكارهم البعث والجزاء.,-1
39,sc.54_37_22_26_1,و {احْشُرُوا} أمر، وهو يقتضي آمراً، أي ناطقاً به، فهذا مقول لقول محذوف لظهور أنه لا يصلح للتعلق بشيء مما سبقه، وحَذْفُ القول من حديث البحر، وظاهر أنه أمر من قبل الله تعالى للملائكة الموكّلين بالناس يوم الحساب.,57
40,sc.54_37_22_26_2,والحشر جمع المتفرقين إلى مكان واحد.,-1
41,sc.54_37_22_26_3,و {الذين ظلموا} المشركون {إن الشرك لظلم عظيم} لقمان 13.,45
42,sc.54_37_22_26_4,والأزواج ظاهره أن المراد به حلائلهم وهو تفسير مجاهد والحسن.,-1
43,sc.54_37_22_26_5,وروي عن النعمان بن بشير يرويه عن عمر ابن الخطاب وتأويله أنهن الأزواج الموافقات لهم في الإِشراك، أما من آمن فهن ناجيات من تبعات أزواجهن وهذا كذكر أزواج المؤمنين في قوله تعالى {هم وأزواجهم في ظلال} يس 56 فإن المراد أزواجهم المؤمنات فأطلق حملاً على المقيّد في قوله {ومن صلح من آبائهم وأزواجهم وذرياتهم} الرعد 23وذكر الأزواج إبلاغ في الوعيد والإِنذار لئلا يحسبوا أن النساء المشركات لا تبعة عليهن.,52
44,sc.54_37_22_26_6,وذلك مثل تخصيصهن بالذكر في قوله تعالى {الحر بالحر والعبد بالعبد والأنثى بالأنثى} في سورة البقرة 178.,52
45,sc.54_37_22_26_7,وقيل الأزواج الأصناف، أي أشياعهم في الشرك وفروعه.,52
46,sc.54_37_22_26_8,قاله قتادة وهو رواية عن عمر بن الخطاب وابن عباس.,14
47,sc.54_37_22_26_9,وعن الضحاك الأزواج المقارنون لهم من الشياطين.,39
48,sc.54_37_22_26_10,وضمير {يَعْبُدُونَ} عائد إلى {الذين ظلموا وأزواجَهُم}.,-1
49,sc.54_37_22_26_11,ومَا صدَقُ {ما} غير العقلاء، فأما العقلاء فلا تزِرُ وازرة وزر أخرى.,-1
50,sc.54_37_22_26_12,والضمير المنصوب في {فَاهْدُوهُم} عائد إلى {الذين ظلموا وأزواجهم وما كانوا يعبدون من دون الله،} أي الأصنام.,-1
51,sc.54_37_22_26_13,وعطف {فَاهدُوهُم} بفاء التعقيب إشارة إلى سرعة الأمر بهم إلى النار عقب ذلك الحشر فالأمر بالأصالة في القرآن.,27
52,sc.54_37_22_26_14,والهداية والهَدي الدلالة على الطريق لمن لا يعرفه، فهي إرشاد إلى مرغوب وقد غلبت في ذلك، لأن كون المهديّ راغباً في معرفة الطريق من لوازم فعل الهداية ولذلك تقابل بالضلالة وهي الحيرة في الطريق، فذكر {اهدوهم} هنا تهكّم بالمشركين، كقول عمرو بن كلثوم قريناكم فعجلنا قراكم قُبيل الصبح مِرادة طَحونا والصراط الطريق، أي طريق جهنم.,35
53,sc.54_37_22_26_15,ومعنى {وَقِفُوهُم} أمر بإيقافهم في ابتداء السير بهم لما أفاده الأمر من الفور بقرينة فاء التعقيب التي عطفته، أي احبسوهم عن السير قَليلاً ليُسألوا سؤال تأييس وتحقير وتغليظ، فيقال لهم {ما لكم لا تناصرون}، أي ما لكم لا ينصر بعضكم بعضاً فيدفع عنه الشقاء الذي هو فيه، وأين تناصركم الذي كنتم تتناصرون في الدنيا وتتألبون على الرسول وعلى المؤمنين.,71
54,sc.54_37_22_26_16,فالاستفهام في {ما لكم لا تناصرونَ} مستعمل في التعجيز مع التنبيه على الخطأ الذي كانوا فيه في الحياة الدنيا.,71
55,sc.54_37_22_26_17,وجملة {ما لكم لا تناصرون} مبيّنة لإبهام {مَسْؤُولُونَ} وهو استفهام مستعمل في التعجيب للتذكير بما يسوءهم، فظهر أن السؤال ليس على حقيقته وإنما أريد به لازمه وهو التعجيب، والمعنى أيّ شيء اختص بكم، فــــ {ما} الاستفهامية مبتدأ و {لكم} خبر عنه.,71
56,sc.54_37_22_26_18,وجملة {لا تَنَاصَرُونَ} حال من ضمير {لكم} وهي مناط الاستفهام، أي أن هذه الحالة تستوجب التعجب من عدم تناصركم.,71
57,sc.54_37_22_26_19,وقرأ الجمهور {لاَ تَنَاصَرُونَ} بتخفيف المثناة الفوقية على أنه من حذف إحدى التاءين.,51
58,sc.54_37_22_26_20,وقرأه البَزِّي عن ابن كثير وأبو جعفر بتشديد المثناة على إدغام إحدى التاءين في الأخرى.,51
59,sc.54_37_22_26_21,والإِضراب المستفاد من {بَل} إضراب لإِبطال إمكان التناصر بينهم وليس ذلك مما يتوهمه السمع، فلذلك كان الإِضراب تأكيداً لما دل عليه الاستفهام من التعجيز.,75
60,sc.54_37_22_26_22,والاستسلام الإِسلام القوي، أي إسلام النفس وترك المدافعة فهو مبالغة في أسلم.,3
61,sc.54_37_22_26_23,وذكر {اليَوْمَ} لإِظهار النكاية بهم، أي زال عنهم ما كان لهم من تناصر وتطاول على المسلمين قبل اليوم، أي في الدنيا إذ كانوا يقولون {نحن جميع منتصر} القمر 44 وقد قالها أبو جهل يوم بدر، أي نحن جماعة لا تغلب فكان لذكر اليوم وقع بديع في هذا المقام.,4
62,sc.22_37_1_82_0,القراءات: {والصافات صفاً} وما بعدهما مدغماً: حمزة وأبو عمرو غير عباس {بزينة} منوناً: حمزة وعاصم غير المفضل {الكواكب} بالنصب: أبو بكر وحماد.,37
63,sc.22_37_1_82_1,"الباقون: بالجر {لا يسمعون} بتشديد السين والميم وأصله \"" يتسمعون \"": حمزة وعلي وخلف وعاصم غير أبي بكر وحماد.",74
64,sc.22_37_1_82_2,الآخرون: بسكون السين وتخفيف الميم.,51
65,sc.22_37_1_82_3,{بل عجبت} بالضم: حمزة وعلي وخلف.,21
