,regions,law_schools,theology_schools,exegetical_interests,periods,date,author_name,author_id,tafsir_name,tafsir_id,sc_id
36,Iran (East),Sunni,Ashʿariyya; Tasawwuf,,pre-Mongolian,1072,ʿAbd al-Karīm ibn Hawāzin al-Qušayrī,52,Laṭāʾif al-išārāt bi-tafsīr al-Qurʾān,31,sc.31_37_22_27
37,Anatolia,Sunni,Maturidiyya,,Ottoman,1574,Abū 's-Suʿūd Muḥammad ibn Muḥammad al-ʿImādī,1,Iršād al-ʿaql as-salīm ilā mazāyā al-kitāb al-karīm,28,sc.28_37_23_28
38,Algeria,Ibadi,Ibadi,,colonial,1914,Muḥammad ibn Yūsuf Aṭfayyiš,8,Himyān az-zād ilā dār al-maʿād,49,sc.49_37_22_23
39,Iran (West),Jaʿfari,Twelver Shiʿa,,pre-Mongolian,1067,Muḥammad ibn Ḥasan aṭ-Ṭūsī,78,at-Tibyān fī tafsīr al-Qurʾān,39,sc.39_37_21_30
40,Egypt,Sunni,"Sunni, undefined",,post-colonial,2010,Muḥammad Sayyid aṭ-Ṭanṭāwī,76,at-Tafsīr al-wasīṭ li-l-Qurʾān al-Karīm,57,sc.57_37_22_39
41,Egypt,Sunni,"Sunni, undefined",,post-colonial,1998,Muḥammad Mutawallī aš-Šaʿrāwī,62,Ḫawāṭir Muḥammad Mutawallī aš-Šaʿrawī,76,sc.76_37_22_24
42,Yemen,Maliki,Zaydiyya,,Ottoman,1695,Aḥmad ʿAlī Muḥammad ʿAlī al-Aʿqam al-Ānisī,6,Tafsīr al-Aʿqam,47,sc.47_37_11_32
43,Algeria,Ibadi,Ibadi,,colonial,1914,Muḥammad ibn Yūsuf Aṭfayyiš,8,Taysīr at-tafsīr li-l-qurʾān al-karīm,50,sc.50_37_22_23
44,Anatolia,Ibadi,Maturidiyya,,Ottoman,1725,Ismāʿīl Ḥaqqī al-Bursawī,35,Rūḥ al-bayān fī tafsīr al-Qurʾān,36,sc.36_37_21_23
45,Iran (West),Sunni,Tasawwuf,,pre-Mongolian,1210,Rūzbihān al-Baqlī aš-Šīrāzī,11,ʿArāʾis al-bayān fī ḥaqāʾiq al-Qurʾān,4,sc.4_37_22_26
46,Greater Syria,Shafiʿi,"Sunni, undefined",,Mamluk,1341,ʿAlī ibn Muḥammad ibn al-Ḫāzin aš-Šiḥi,20,Lubāb at-taʾwīl fī maʿānī at-tanzīl,18,sc.18_37_20_26
47,Algeria,Sunni,"Sunni, undefined",,post-colonial,2018,Abū Bakr Ǧābir ibn Mūsā ibn ʿAbd al-Qādir al-Ǧazāʾirī,16,Aysar at-tafāsīr li-kalām al-ʿalī al-kabīr,66,sc.66_37_22_30
48,Jordan ,Sunni,"Sunni, undefined",,post-colonial,1984,Ibrāhīm al-Qaṭṭān,49,Taysīr at-tafsīr,68,sc.68_37_11_26
49,"Andalus, al-; Egypt",Sunni,"Sunni, undefined",,Andalusian,1345,Aṯīr ad-Dīn Abū Ḥayyān Muḥammad ibn Yūsuf ibn ʿAlī ibn Ḥayyān al-Andalūsī,2,an-Nahr al-mādd min al-baḥr al-muḥīṭ,90,sc.90_37_1_34
50,Tunisia,Sunni,Ashʿariyya,,colonial,1973,Muḥammad aṭ-Ṭāhir ibn ʿAšūr,31,at-Taḥrīr wa-t-tanwīr,55,sc.55_37_22_23
51,Greater Syria,Sunni,"Sunni, undefined",,post-colonial,2021,Muḥammad ʿAlī aṣ-Ṣābūnī,55,Muḫtaṣar tafsīr Ibn Kaṯīr,84,sc.84_37_20_26
52,Transoxania,Sunni,Maturidiyya,,"early, pre-Buyid",944,Abū Manṣūr Muḥammad ibn Muḥammad ibn Maḥmūd as-Samarqandī al-Māturīdī,41,Taʾwīlāt ahl as-sunna,94,sc.94_37_11_26
53,Iran (West),Jaʿfari,Twelver Shiʿa,,Safavid,1680,Mullā Muḥammad ibn Murtaḍā ibn Maḥmūd al-Kašānī,36,aṣ-Ṣāfī fī tafsīr kalām Allāh al-wāfī,41,sc.41_37_17_37
54,Iran (West),Jaʿfari,Tasawwuf,,colonial,1909,Sulṭān Muḥammad al-Ǧunābaḏī,18,Tafsīr Bayān as-saʿāda fī maqāmāt al-ʿibāda,42,sc.42_37_22_23
55,"Andalus, al-; Egypt",Sunni,"Sunni, undefined",,Andalusian,1345,Aṯīr ad-Dīn Abū Ḥayyān Muḥammad ibn Yūsuf ibn ʿAlī ibn Ḥayyān al-Andalūsī,2,an-Nahr al-mādd min al-baḥr al-muḥīṭ,90,sc.90_15_26_87
56,Iraq,Sunni,Ashʿariyya,,pre-Mongolian,1200,ʿAbd ar-Raḥmān ibn ʿAlī ibn al-Ǧawzī,28,Zād al-masīr fī ʿilm at-tafsīr,15,sc.15_15_30_41
