,regions,law_schools,theology_schools,exegetical_interests,periods,date,author_name,author_id,tafsir_name,tafsir_id,sc_id
24,"Andalus, al-; Egypt",Sunni,"Sunni, undefined",,Andalusian,1345.0,Aṯīr ad-Dīn Abū Ḥayyān Muḥammad ibn Yūsuf ibn ʿAlī ibn Ḥayyān al-Andalūsī,2,an-Nahr al-mādd min al-baḥr al-muḥīṭ,90,sc.90_1_1_7
25,Iran (East),Sunni,"Sunni, undefined",,"early, pre-Buyid",915.0,Aḥmad ibn ʿAlī an-Nasāʾī,46,Tafsīr an-Nasāʾī,100,sc.100_1_7_7
26,Egypt,Sunni,Ashʿariyya,,Mamluk,1505.0,Ǧalāl ad-Dīn ʿAbd ar-Raḥmān Ibn Abī Bakr as-Suyūṭī,68,ad-Durr al-manṯūr fī at-tafsīr bi-l-maʾṯūr,26,sc.26_1_6_7
27,Transoxania,Sunni,Maturidiyya,,"early, pre-Buyid",944.0,Abū Manṣūr Muḥammad ibn Muḥammad ibn Maḥmūd as-Samarqandī al-Māturīdī,41,Taʾwīlāt ahl as-sunna,94,sc.94_1_5_7
28,Greater Syria,Sunni,"Sunni, undefined",,post-colonial,2021.0,Muḥammad ʿAlī aṣ-Ṣābūnī,55,Muḫtaṣar tafsīr Ibn Kaṯīr,84,sc.84_1_7_7
29,Iran (East); Iraq,Sunni,"Sunni, undefined",,early,767.0,Muqātil ibn Sulaymān al-Balḫī,44,Tafsīr Muqātil ibn Sulaymān,67,sc.67_1_5_7
30,Oman,Ibadi,Ibadi,,post-colonial,,Aḥmad ibn Ḥamad al-Ḫalīlī,19,Ǧawāhir at-tafsīr: Anwār min bayān al-tanzīl,51,sc.51_1_7_7
31,Anatolia,Sunni,Maturidiyya,,Ottoman,1574.0,Abū 's-Suʿūd Muḥammad ibn Muḥammad al-ʿImādī,1,Iršād al-ʿaql as-salīm ilā mazāyā al-kitāb al-karīm,28,sc.28_1_1_7
32,Iran (West),Jaʿfari,Tasawwuf,,colonial,1909.0,Sulṭān Muḥammad al-Ǧunābaḏī,18,Tafsīr Bayān as-saʿāda fī maqāmāt al-ʿibāda,42,sc.42_1_7_7
33,Greater Syria,Sunni,"Sunni, undefined",,Mamluk,1476.0,Abū Ḥafṣ ʿUmar ibn ʿAlī ibn ʿĀdil al-Dimašqī Nuʿmānī,26,al-Lubāb fī ʿulūm al-kitāb,24,sc.24_1_7_7
34,Arabian Peninsula; Iraq,Maliki,"Sunni, undefined",,"Abbasid; early, post-Buyid",1045.0,Makkī ibn Abū Ṭālib al-Qaysī,40,al-Hidāya ilā bulūġ an-nihāya,92,sc.92_1_7_7
35,Iran (West),Jaʿfari,Twelver Shiʿa,,Safavid,1649.0,Ṣadr ad-Dīn Muḥammad aš-Šīrāzī,66,at-Tafsīr,40,sc.40_1_7_7
36,Algeria,Sunni,"Sunni, undefined",,post-colonial,2018.0,Abū Bakr Ǧābir ibn Mūsā ibn ʿAbd al-Qādir al-Ǧazāʾirī,16,Aysar at-tafāsīr li-kalām al-ʿalī al-kabīr,66,sc.66_1_7_7
37,Algeria,Ibadi,Ibadi,,colonial,1914.0,Muḥammad ibn Yūsuf Aṭfayyiš,8,Taysīr at-tafsīr li-l-qurʾān al-karīm,50,sc.50_1_7_7
38,Egypt,Sunni,"Sunni, undefined",,post-colonial,1998.0,Muḥammad Mutawallī aš-Šaʿrāwī,62,Ḫawāṭir Muḥammad Mutawallī aš-Šaʿrawī,76,sc.76_1_6_7
39,Greater Syria,Shafiʿi,"Sunni, undefined",,Mamluk,1341.0,ʿAlī ibn Muḥammad ibn al-Ḫāzin aš-Šiḥi,20,Lubāb at-taʾwīl fī maʿānī at-tanzīl,18,sc.18_1_1_7
40,Greater Syria,Sunni,"Sunni, undefined",,colonial,1914.0,Ǧamāl ad-Dīn Muḥammad al-Qāsimī,48,Maḥāsin at-Taʾwīl,102,sc.102_1_7_7
41,Egypt,Sunni,"Sunni, undefined",,18th century,1826.0,Aḥmad ibn Muḥammad aṣ-Ṣāwī,63,Ḥāšīyat aṣ-Ṣāwī ʿalā tafsīr al-Ǧalālayn,96,sc.96_1_6_7
42,Iran (West),Jaʿfari,Twelver Shiʿa,,Safavid,1680.0,Mullā Muḥammad ibn Murtaḍā ibn Maḥmūd al-Kašānī,36,aṣ-Ṣāfī fī tafsīr kalām Allāh al-wāfī,41,sc.41_1_7_7
43,Yemen,Maliki,Zaydiyya,,Ottoman,1695.0,Aḥmad ʿAlī Muḥammad ʿAlī al-Aʿqam al-Ānisī,6,Tafsīr al-Aʿqam,47,sc.47_1_3_7
44,"Andalus, al-",Sunni,Ashʿariyya,,Andalusian,1273.0,Muḥammad ibn Aḥmad al-Qurṭubī,51,al-Ǧāmiʿ li-aḥkām al-Qurʾān,5,sc.5_1_1_7
45,Iran (West),Sunni,Ashʿariyya,,post-Mongolian,1319.0,ʿAbdallāh ibn ʿUmar al-Bayḍāwī,12,Anwār at-tanzīl wa-asrār at-taʾwīl,6,sc.6_1_7_7
46,Greater Syria,Sunni,Athariyya,,Mamluk,1373.0,Ismāʿīl ibn ʿUmar ibn Kaṯīr,34,Tafsīr al-Qurʾān al-ʿaẓīm,7,sc.7_1_7_7
47,"Andalus, al-; Egypt",Sunni,"Sunni, undefined",,Andalusian,1345.0,Aṯīr ad-Dīn Abū Ḥayyān Muḥammad ibn Yūsuf ibn ʿAlī ibn Ḥayyān al-Andalūsī,2,al-Baḥr al-muḥīṭ,19,sc.19_1_1_7
48,Iran (West),Sunni,Ashʿariyya; Muʿtazila,,Abbasid,1058.0,ʿAlī ibn Muḥammad al-Māwardī,42,an-Nukat wa-l-ʿuyūn,12,sc.12_1_6_7
49,Greater Syria,Sunni,"Sunni, undefined",,post-colonial,2021.0,Muḥammad ʿAlī aṣ-Ṣābūnī,55,Ṣawfat at-tafāsīr: tafsīr li-l-Qurʾān al-karīm,83,sc.83_1_1_7
50,Egypt; Greater Syria,Sunni,Ashʿariyya,,colonial,1935.0,Muḥammad Rašīd Riḍā,53,Tafsīr al-Manār,103,sc.103_1_1_7
51,Algeria,Ibadi,Ibadi,,colonial,1914.0,Muḥammad ibn Yūsuf Aṭfayyiš,8,Himyān az-zād ilā dār al-maʿād,49,sc.49_1_1_7
52,Anatolia,Ibadi,Maturidiyya,,Ottoman,1725.0,Ismāʿīl Ḥaqqī al-Bursawī,35,Rūḥ al-bayān fī tafsīr al-Qurʾān,36,sc.36_1_7_7
53,Iraq,Sunni,Tasawwuf,,post-Mongolian,1166.0,ʿAbd al-Qādir ibn Abū Ṣālīḥ al-Ǧīlānī,17,Tafsīr al-Ǧīlānī,95,sc.95_1_1_7
54,Iran (East),Shafiʿi,"Sunni, undefined",,pre-Mongolian,1122.0,al-Ḥusayn ibn Masʿūd al-Baġawī,10,Maʿālim at-tanzīl,13,sc.13_1_1_7
55,Iran (West),Sunni,"Sunni, undefined",,"early, post-Buyid",971.0,Sulaymān ibn Aḥmad aṭ-Ṭabarānī,71,Tafsīr al-Qurʾān al-karīm,91,sc.91_1_7_7
56,Iran (East),Shafiʿi,"Sunni, undefined",,"early, post-Buyid; Mamluk",1075.0,Abū 'l-Ḥasan ʿAlī ibn Aḥmad al-Wāḥidī,80,al-Waǧīz fī tafsīr al-kitāb al-ʿazīz,60,sc.60_1_5_7
57,"Andalus, al-; Greater Syria",Maliki,"Sunni, undefined",,Andalusian,1240.0,Muhyī ad-Dīn ibn ʿArabī,29,Tafsīr al-Qurʾān al-karīm,33,sc.33_1_6_7
58,Iran (East),Shafiʿi,"Sunni, undefined",,"early, post-Buyid; Mamluk",1035.0,Aḥmad ibn Muḥammad Abū Isḥāq aṯ-Ṯaʿlabī,75,al-Kašf wa-l-bayān fī tafsīr al-Qurʾān,75,sc.75_1_7_7
59,Yemen,Sunni,"Sunni, undefined",,post-Mongolian,1414.0,Muḥammad ibn Yaʿqūb al-Fīrūzābādī,14,Tafsīr al-Qurʾān,10,sc.10_1_1_7
60,Egypt; Greater Syria,Sunni,Ashʿariyya,,"early, post-Buyid; post-Mongolian",1262.0,ʿIzz ad-Dīn Abū Muḥammad ʿAbd al-ʿAzīz ibn ʿAbd as-Salām,24,Tafsīr al-Qurʾān,16,sc.16_1_7_7
61,Egypt,Sunni,"Sunni, undefined",,post-colonial,2010.0,Muḥammad Sayyid aṭ-Ṭanṭāwī,76,at-Tafsīr al-wasīṭ li-l-Qurʾān al-Karīm,57,sc.57_1_1_7
62,Iran (West),Sunni,Ashʿariyya,,post-Mongolian,1479.0,ʿAbd al-Raḥmān aṯ-Ṯaʿālibī,70,al-Ǧawāhir al-ḥisān fī tafsīr al-Qurʾān,23,sc.23_1_6_7
63,Iran (East),Sunni,"Sunni, undefined",,"early, post-Buyid",942.0,Abū Bakr Muḥammad ibn ʿAzīz as-Siǧistānī,65,Nuzhat al-qulūb fī ʿalām al-ġuyūb,105,sc.105_1_7_7
64,"Andalus, al-",Sunni,"Sunni, undefined",,"Andalusian; early, post-Buyid",1009.0,Muḥammad ibn ʿAbdallāh ibn Abī Zamanīn,25,Tafsīr al-Qurʾān al-ʿazīz,104,sc.104_1_1_7
65,Iran (East),Hanafi,Maturidiyya,,"early, post-Buyid",985.0,Abū 'l-Layṯ as-Samarqandī,59,Baḥr al-ʿulūm,11,sc.11_1_1_7
66,Iraq,Ibadi,Athariyya,,colonial,1854.0,Abū 'ṯ-Ṯanāʾ Šihāb ad-Dīn Maḥmūd ibn ʿAlī al-Alūsī al-Ḥasanī al-Ḥusaynī al-Baġdādī,4,Rūḥ al-maʿānī: fī tafsīr al-Qurʿān al-ʿaẓīm wa-s-sabʿ al-maṯānī,52,sc.52_1_1_7
67,Iran (East),Zaydi,"Sunni, undefined",,pre-Mongolian,1021.0,Muḥammad ibn al-Ḥusayn as-Sulamī,67,Ḥaqāʾiq at-tafsīr,30,sc.30_1_7_7
68,Arabian Peninsula,Hanbali,"Sunni, undefined",,colonial,1957.0,ʿAbd ar-Raḥmān ibn Nāṣir as-Saʿdī,58,Taysīr al-karīm ar-raḥmān fī tafsīr kalām al-mannān,98,sc.98_1_1_7
69,Iran (East),Sunni; Zaydi; other law school,"Sunni, undefined",,18th century; pre-Mongolian,1220.0,Naǧm ad-Dīn Aḥmad ibn ʿUmar al-Kubrā,3,at-Taʾwīlāt an-naǧmiyya fī at-tafsīr al-ʾišārī aṣ-ṣūfī,97,sc.97_1_1_7
70,Tunisia,Sunni,Ashʿariyya,,Andalusian,1401.0,Muḥammad ibn Muḥammad ibn ʿArafa,30,Tafsīr al-imām ʾibn ʿArafa,20,sc.20_1_7_7
71,Iran (East),Sunni,Ashʿariyya; Tasawwuf,,pre-Mongolian,1072.0,ʿAbd al-Karīm ibn Hawāzin al-Qušayrī,52,Laṭāʾif al-išārāt bi-tafsīr al-Qurʾān,31,sc.31_37_118_118
72,Iran (West),Jaʿfari,Twelver Shiʿa,,pre-Mongolian,1067.0,Muḥammad ibn Ḥasan aṭ-Ṭūsī,78,at-Tibyān fī tafsīr al-Qurʾān,39,sc.39_1_6_6
73,Iran (West),Jaʿfari,Twelver Shiʿa,,Safavid,1649.0,Ṣadr ad-Dīn Muḥammad aš-Šīrāzī,66,at-Tafsīr,40,sc.40_1_6_6
74,Iran (East),Sunni,"Sunni, undefined",,"early, pre-Buyid",915.0,Aḥmad ibn ʿAlī an-Nasāʾī,46,Tafsīr an-Nasāʾī,100,sc.100_1_1_6
75,Arabian Peninsula,Sunni,"Sunni, undefined",,post-colonial,1973.0,Muḥammad al-Amīn ibn Muḥammad al-Muḫtār ibn ʿAbd al-Qādir al-Ǧakanī aš-Šanqīṭī,61,Aḍwāʾ al-bayān fī īḍāḥ al-Qurʾān bi-l-Qurʾān,54,sc.54_19_36_36
