,regions,law_schools,theology_schools,exegetical_interests,periods,date,author_name,author_id,tafsir_name,tafsir_id,sc_id
11,Iraq,Jaʿfari,Twelver Shiʿa,,"early, pre-Buyid",900,Abū 'l-Qāsim Furāt ibn Ibrāhīm ibn Furāt al-Kūfī,15,Tafsīr Furāt al-Kūfī,48,sc.48_15_41_44
12,Egypt,Sunni,"Sunni, undefined",,18th century,1826,Aḥmad ibn Muḥammad aṣ-Ṣāwī,63,Ḥāšīyat aṣ-Ṣāwī ʿalā tafsīr al-Ǧalālayn,96,sc.96_15_34_45
13,"Andalus, al-",Sunni,Ashʿariyya,,Andalusian,1340,Muḥammad ibn Ahmad ibn Ǧuzayy al-Ġarnāṭī,33,Kitāb at-Tašīl li-ʿulūm at-tanzīl,88,sc.88_15_39_48
14,Iran (West),Jaʿfari,Twelver Shiʿa,,Safavid,1680,Mullā Muḥammad ibn Murtaḍā ibn Maḥmūd al-Kašānī,36,aṣ-Ṣāfī fī tafsīr kalām Allāh al-wāfī,41,sc.41_15_30_43
15,Morocco,Sunni,Tasawwuf,,18th century,1809,Aḥmad ibn Muḥammad ibn ʿAǧība,27,al-Baḥr al-madīd fī tafsīr al-Qurʾān al-maǧīd,37,sc.37_15_28_41
16,Iran (East),Shafiʿi,"Sunni, undefined",,pre-Mongolian,1122,al-Ḥusayn ibn Masʿūd al-Baġawī,10,Maʿālim at-tanzīl,13,sc.13_15_41_44
17,Khwarazm,Sunni,Muʿtazila,,pre-Mongolian,1144,Maḥmūd ibn ʿUmar az-Zamaḫšarī,81,al-Kaššāf ʿan ḥaqāʾiq ġawāmiḍ at-tanzīl wa-ʿuyūn al-aqāwīl fī wuǧūh at-taʾwīl,2,sc.2_15_28_44
18,Greater Syria,Sunni,"Sunni, undefined",,post-colonial,2021,Muḥammad ʿAlī aṣ-Ṣābūnī,55,Ṣawfat at-tafāsīr: tafsīr li-l-Qurʾān al-karīm,83,sc.83_15_1_44
19,Arabian Peninsula; Greater Syria,Sunni,"Sunni, undefined",,early; pre-Mongolian,1151,ʿAbd al-Ḥaqq ibn Ġālib ibn ʿAṭiyya,32,al-Muḥarrar al-waǧīz fī tafsīr al-kitāb al-ʿazīz,14,sc.14_15_34_44
20,Yemen,Maliki,Zaydiyya,,Ottoman,1695,Aḥmad ʿAlī Muḥammad ʿAlī al-Aʿqam al-Ānisī,6,Tafsīr al-Aʿqam,47,sc.47_15_21_50
21,Algeria,Ibadi,Ibadi,,colonial,1914,Muḥammad ibn Yūsuf Aṭfayyiš,8,Taysīr at-tafsīr li-l-qurʾān al-karīm,50,sc.50_15_41_42
22,Anatolia,Sunni,Maturidiyya,,Ottoman,1574,Abū 's-Suʿūd Muḥammad ibn Muḥammad al-ʿImādī,1,Iršād al-ʿaql as-salīm ilā mazāyā al-kitāb al-karīm,28,sc.28_15_41_45
23,Iran (West),Hanafi,Maturidiyya,,post-Mongolian,1311,Ḥāfiẓ ad-Dīn Abū l-Barakāt ʿAbdallāh ibn Aḥmad an-Nasafī,45,Madārik at-tanzīl wa-ḥaqāʾiq at-taʾwīl,17,sc.17_15_36_42
24,Iran (East),Shafiʿi,"Sunni, undefined",,"early, post-Buyid; Mamluk",1075,Abū 'l-Ḥasan ʿAlī ibn Aḥmad al-Wāḥidī,80,al-Waǧīz fī tafsīr al-kitāb al-ʿazīz,60,sc.60_15_38_45
25,Transoxania,Sunni,Maturidiyya,,"early, pre-Buyid",944,Abū Manṣūr Muḥammad ibn Muḥammad ibn Maḥmūd as-Samarqandī al-Māturīdī,41,Taʾwīlāt ahl as-sunna,94,sc.94_15_26_44
26,Iran (West),Jaʿfari,Twelver Shiʿa,,pre-Mongolian,1067,Muḥammad ibn Ḥasan aṭ-Ṭūsī,78,at-Tibyān fī tafsīr al-Qurʾān,39,sc.39_15_41_44
27,"Andalus, al-; Greater Syria",Maliki,"Sunni, undefined",,Andalusian,1240,Muhyī ad-Dīn ibn ʿArabī,29,Tafsīr al-Qurʾān al-karīm,33,sc.33_15_26_44
28,Iran (West),Jaʿfari,Twelver Shiʿa,,post-colonial,1981,Muḥammad Ḥusayn aṭ-Ṭabāṭabāʾī,74,al-Mīzān fī tafsīr al-Qurʾān,56,sc.56_15_26_48
29,Jordan ,Sunni,"Sunni, undefined",,post-colonial,1984,Ibrāhīm al-Qaṭṭān,49,Taysīr at-tafsīr,68,sc.68_15_32_44
30,Algeria,Sunni,"Sunni, undefined",,post-colonial,2018,Abū Bakr Ǧābir ibn Mūsā ibn ʿAbd al-Qādir al-Ǧazāʾirī,16,Aysar at-tafāsīr li-kalām al-ʿalī al-kabīr,66,sc.66_15_34_44
31,Greater Syria,Shafiʿi,"Sunni, undefined",,Mamluk,1341,ʿAlī ibn Muḥammad ibn al-Ḫāzin aš-Šiḥi,20,Lubāb at-taʾwīl fī maʿānī at-tanzīl,18,sc.18_15_31_41
32,Iran (East),Shafiʿi,"Sunni, undefined",,"early, post-Buyid; Mamluk",1035,Aḥmad ibn Muḥammad Abū Isḥāq aṯ-Ṯaʿlabī,75,al-Kašf wa-l-bayān fī tafsīr al-Qurʾān,75,sc.75_15_28_50
33,Egypt,Sunni,"Sunni, undefined",,post-colonial,2000,Laǧnat al-Qurʾān wa-s-Sunna fī Maǧlis al-Aʿlā li-š-Šuʾūn al-Islāmiyya,38,al-Muntaḫab fī tafsīr al-Qurʾān al-Karīm,65,sc.65_15_39_47
34,Egypt,Sunni,"Sunni, undefined",,post-colonial,1998,Muḥammad Mutawallī aš-Šaʿrāwī,62,Ḫawāṭir Muḥammad Mutawallī aš-Šaʿrawī,76,sc.76_15_41_41
35,Greater Syria,Sunni,Athariyya,,Mamluk,1373,Ismāʿīl ibn ʿUmar ibn Kaṯīr,34,Tafsīr al-Qurʾān al-ʿaẓīm,7,sc.7_15_39_44
36,Yemen,Sunni,"Sunni, undefined",,post-Mongolian,1414,Muḥammad ibn Yaʿqūb al-Fīrūzābādī,14,Tafsīr al-Qurʾān,10,sc.10_15_29_47
37,Arabian Peninsula; Iraq,Maliki,"Sunni, undefined",,"Abbasid; early, post-Buyid",1045,Makkī ibn Abū Ṭālib al-Qaysī,40,al-Hidāya ilā bulūġ an-nihāya,92,sc.92_15_39_44
38,Yemen,Sunni,Athariyya,,18th century,1834,Muḥammad ibn ʿAlī ibn Muḥammad aš-Šawkānī,64,Fatḥ al-qadīr,9,sc.9_15_26_44
39,Egypt,Sunni,Ashʿariyya,,Mamluk,1505,Ǧalāl ad-Dīn ʿAbd ar-Raḥmān Ibn Abī Bakr as-Suyūṭī,68,ad-Durr al-manṯūr fī at-tafsīr bi-l-maʾṯūr,26,sc.26_15_36_48
40,Arabian Peninsula,Hanbali,"Sunni, undefined",,colonial,1957,ʿAbd ar-Raḥmān ibn Nāṣir as-Saʿdī,58,Taysīr al-karīm ar-raḥmān fī tafsīr kalām al-mannān,98,sc.98_15_26_44
41,Iran (West),Sunni,Ashʿariyya,,post-Mongolian,1319,ʿAbdallāh ibn ʿUmar al-Bayḍāwī,12,Anwār at-tanzīl wa-asrār at-taʾwīl,6,sc.6_15_34_46
42,Greater Syria,Sunni,"Sunni, undefined",,post-colonial,2021,Muḥammad ʿAlī aṣ-Ṣābūnī,55,Muḫtaṣar tafsīr Ibn Kaṯīr,84,sc.84_15_39_44
43,Iran (West),Sunni,Ashʿariyya,,pre-Mongolian,1209,Faḫr ad-Dīn ar-Rāzī,54,Mafātīḥ al-ġayb,32,sc.32_15_26_49
44,Iran (East),Hanafi,Maturidiyya,,"early, post-Buyid",985,Abū 'l-Layṯ as-Samarqandī,59,Baḥr al-ʿulūm,11,sc.11_15_25_41
45,"Andalus, al-",Sunni,"Sunni, undefined",,"Andalusian; early, post-Buyid",1009,Muḥammad ibn ʿAbdallāh ibn Abī Zamanīn,25,Tafsīr al-Qurʾān al-ʿazīz,104,sc.104_15_32_44
